,index,comb_id,req1,req2,BinaryClass,MultiClass,PredictedLabel,Predict_Proba_Class_0,Predict_Proba_Class_1
0,129,3736.0,the current operational status shall be indicated to the driver on the dmi,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,1,2.0,1,0.23,0.77
1,121,3661.0,the current operational status shall be indicated to the driver on the dmi,the target distance shall not be shown on the dmi unless selected by the driver,1,2.0,1,0.06,0.94
2,113,3729.0,the current operational status shall be indicated to the driver on the dmi,operation of the train trip shall be indicated on the dmi,1,2.0,1,0.02,0.98
3,27,6981.0,the following data may be entered manually by the driver or from train memory,"the following data may be entered manually by the driver provided by external sources
",1,3.0,1,0.43,0.57
4,281,3751.0,the current operational status shall be indicated to the driver on the dmi,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,0,0.0,0,0.66,0.34
5,378,11316.0,the etcs trainborne equipment shall be capable of receiving information from the national train control systems by means of the stm,the dmi shall display or be compatible with information from national train control systems this may mean displaying the information shown by the national system,1,3.0,0,0.5,0.5
6,112,18426.0,if supervised by an rbc it shall be possible to command an emergency stop to all trains in a particular area or to a specific train,it shall be possible to command an immediate train stop,0,0.0,0,0.81,0.19
7,194,18779.0,the driver shall be able to override the function when the train is stationary,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,0,0.0,0,0.89,0.11
8,86,18919.0,operation of the train trip shall be indicated on the dmi,the occurrence of a failure shall be displayed on the dmi,1,2.0,1,0.12,0.88
9,240,1707.0,the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,1,2.0,1,0.24,0.76
10,323,1637.0,the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,the target distance shall not be shown on the dmi unless selected by the driver,0,0.0,0,0.74,0.26
11,80,18628.0,the emergency stop shall be indicated to the driver on the dmi,after the acknowledgement the driver shall be able to continue the movement,0,0.0,0,0.86,0.14
12,73,1413.0,the current application level shall be indicated on the dmi,partial supervision shall be indicated on the dmi,1,2.0,1,0.0,1.0
13,246,19686.0,if the train is equipped with two operational radios there shall be no performance penalty as a result of a transition from one rbc to another (train spacing and train speed,if the train is equipped with only one operational radio passing from one rbc to another shall still be possible but might result in a performance penalty,1,1.0,0,0.53,0.47
14,261,5967.0,the driver shall be able to consult train data when the train is stationary or moving,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,0,0.0,0,0.84,0.16
15,279,16362.0,the driver shall have the possibility to select the language this does not concern non pre-defined texts sent from the trackside,the following train data shall be sent from the on board to the trackside,0,0.0,0,0.84,0.16
16,352,15500.0,"when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",the new target location shall be checked for acceptance by the on board,0,0.0,0,0.97,0.03
17,228,1534.0,the current application level shall be indicated on the dmi,information shall be shown on the dmi,1,3.0,1,0.0,1.0
18,158,18622.0,the emergency stop shall be indicated to the driver on the dmi,the driver shall be able to override the function when the train is stationary,0,0.0,0,0.92,0.08
19,241,11055.0,when the etcs trainborne equipment is isolated the system shall not show any etcs information other than the fact that the system is isolated,isolation of the etcs trainborne equipment shall disconnect the etcs trainborne equipment from the vehicle braking system,1,1.0,1,0.49,0.51
20,29,3675.0,the current operational status shall be indicated to the driver on the dmi,the release speed shall be indicated on the dmi,1,2.0,1,0.02,0.98
21,162,18664.0,the emergency stop shall be indicated to the driver on the dmi,the occurrence of a failure shall be displayed on the dmi,1,2.0,1,0.16,0.84
22,295,1663.0,the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,the driver shall have the possibility to select the language this does not concern non pre-defined texts sent from the trackside,0,0.0,0,0.86,0.14
23,7,15905.0,actual speed shall be indicated on the dmi,actual speed shall still be shown on the dmi,1,3.0,1,0.05,0.95
24,168,18764.0,the driver shall be able to override the function when the train is stationary,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,0,0.0,0,0.81,0.19
25,266,13727.0,the train shall as a minimum be supervised to a ceiling speed; the supervised speed shall not be shown on the dmi unless selected by the driver,actual speed shall be indicated on the dmi,0,0.0,0,0.61,0.39
26,176,3627.0,the current operational status shall be indicated to the driver on the dmi,partial supervision shall be indicated on the dmi,1,2.0,1,0.0,1.0
27,211,13983.0,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,the emergency stop shall be indicated to the driver on the dmi,0,0.0,0,0.82,0.18
28,227,3768.0,the current operational status shall be indicated to the driver on the dmi,the occurrence of a failure shall be displayed on the dmi,1,2.0,1,0.11,0.89
29,123,11313.0,isolation of the etcs trainborne equipment shall disconnect the etcs trainborne equipment from the vehicle braking system,if there are failures of the trainborne equipment which compromise the safety of train supervision the etcs trainborne equipment shall immediately command the brake and bring the train to a stop,0,0.0,0,0.52,0.48
30,392,14717.0,when changing to a lower speed level the front end of the train shall respect the dynamic train speed profile,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,0,0.0,0,0.9,0.1
31,119,17035.0,when the traction unit has come to a standstill the driver shall be able to release the emergency brake,after the acknowledgement the driver shall be able to continue the movement,0,0.0,0,0.93,0.07
32,385,15102.0,where failure to apply the full service brake is detected the emergency brake shall stop the train in rear of the danger point,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,0,0.0,0,0.87,0.13
33,100,17053.0,when the traction unit has come to a standstill the driver shall be able to release the emergency brake,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0,0.0,0,0.93,0.07
34,9,5962.0,the driver shall be able to consult train data when the train is stationary or moving,the driver shall be able to override the function when the train is stationary,1,1.0,0,0.81,0.19
35,143,1481.0,the current application level shall be indicated on the dmi,the roll away/reverse movement intervention shall be indicated on the dmi,1,2.0,1,0.02,0.98
36,174,19274.0,the etcs on-board shall be capable of receiving information regarding air tightness from the trackside,the etcs on-board shall be capable of sending to the trackside train integrity information detected by a system outside etcs,1,1.0,1,0.07,0.93
37,15,17558.0,it shall be possible to use multiple traction units without isolating the etcs trainborne equipment on traction unit(s) with an in-operative cab,it shall be possible to use tandem traction units without isolating the etcs trainborne equipment on the tandem traction unit,1,3.0,1,0.17,0.83
38,173,1522.0,the current application level shall be indicated on the dmi,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,1,2.0,1,0.13,0.87
39,401,9749.0,in partial supervision the train shall be supervised according to train speed and distance data available,a train shall be supervised to its static and dynamic train speed profiles,1,3.0,1,0.17,0.83
40,331,2974.0,in case the transition has to be acknowledged and the driver fails to acknowledge as required the etcs shall initiate a brake application,when the traction unit has come to a standstill the driver shall be able to release the emergency brake,0,0.0,0,0.81,0.19
41,90,15275.0,the release speed shall be indicated on the dmi,actual speed shall still be shown on the dmi,1,2.0,1,0.05,0.95
42,217,16959.0,the roll away/reverse movement intervention shall be indicated on the dmi,operation of the train trip shall be indicated on the dmi,1,2.0,1,0.06,0.94
43,396,4967.0,the test shall require no action on the part of the driver,when the plain text message appears on the dmi the driver shall be alerted,0,0.0,0,0.92,0.08
44,224,7365.0,if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,0,0.0,0,0.9,0.1
45,104,16624.0,the driver shall be able to release an etcs emergency brake application when stationary,when the traction unit has come to a standstill the driver shall be able to release the emergency brake,1,2.0,0,0.66,0.34
46,280,18644.0,the emergency stop shall be indicated to the driver on the dmi,information shall be shown on the dmi,1,3.0,1,0.01,0.99
